Month,Day,Year,Time,Opponent,Home,Final,Logo #,Team Score,Opp Score,Team Stat,Opp Stat,Final Cond 1,Final Cond 2
8,25,2023,6:05 PM,PHI,,,1,-,-,0,0,9,
8,26,2023,6:15 PM,PHI,,,1,-,-,0,0,9,
8,27,2023,12:35 PM,PHI,,,1,-,-,0,0,9,
8,28,2023,6:45 PM,SDP,X,,1,-,-,0,0,9,
8,29,2023,6:45 PM,SDP,X,,1,-,-,0,0,9,
8,30,2023,1:15 PM,SDP,X,,1,-,-,0,0,9,
9,1,2023,7:15 PM,PIT,X,,1,-,-,0,0,9,
9,2,2023,6:15 PM,PIT,X,,1,-,-,0,0,9,
9,3,2023,1:15 PM,PIT,X,,1,-,-,0,0,9,
9,5,2023,6:20 PM,ATL,,,1,-,-,0,0,9,
9,6,2023,6:20 PM,ATL,,,1,-,-,0,0,9,
9,7,2023,6:20 PM,ATL,,,1,-,-,0,0,9,
9,8,2023,5:40 PM,CIN,,,1,-,-,0,0,9,
9,9,2023,5:40 PM,CIN,,,1,-,-,0,0,9,
9,10,2023,12:40 PM,CIN,,,1,-,-,0,0,9,
9,11,2023,5:35 PM,BAL,,,1,-,-,0,0,9,
9,12,2023,5:35 PM,BAL,,,1,-,-,0,0,9,
9,13,2023,5:35 PM,BAL,,,1,-,-,0,0,9,
9,15,2023,7:15 PM,PHI,X,,1,-,-,0,0,9,
9,16,2023,6:15 PM,PHI,X,,1,-,-,0,0,9,
9,17,2023,1:15 AM,PHI,X,,1,-,-,0,0,9,
9,18,2023,6:45 PM,MIL,X,,1,-,-,0,0,9,
9,19,2023,6:45 PM,MIL,X,,1,-,-,0,0,9,
9,20,2023,6:45 PM,MIL,X,,1,-,-,0,0,9,
9,21,2023,12:15 PM,MIL,X,,1,-,-,0,0,9,
9,22,2023,8:40 PM,SDP,,,1,-,-,0,0,9,
9,23,2023,7:40 PM,SDP,,,1,-,-,0,0,9,
9,24,2023,3:10 PM,SDP,,,1,-,-,0,0,9,
9,26,2023,6:40 PM,MIL,,,1,-,-,0,0,9,
9,27,2023,6:40 PM,MIL,,,1,-,-,0,0,9,
9,28,2023,3:10 PM,MIL,,,1,-,-,0,0,9,
9,29,2023,7:15 PM,CIN,X,,1,-,-,0,0,9,
9,30,2023,6:15 PM,CIN,X,,1,-,-,0,0,9,
