Month,Day,Year,Time,Opponent,Home,Final,Logo #,Team Score,Opp Score,Team Stat,Opp Stat,Final Cond 1,Final Cond 2
9,23,2023,2:00 PM,ARI,X,,1,-,-,0,0,,
9,23,2023,7:00 PM,ARI,,,1,-,-,0,0,,
9,26,2023,7:00 PM,CBJ,X,,1,-,-,0,0,,
9,28,2023,7:30 PM,CHI,,,1,-,-,0,0,,
9,30,2023,6:00 PM,DAL,X,,1,-,-,0,0,,
10,2,2023,6:00 PM,CBJ,,,1,-,-,0,0,,
10,5,2023,7:00 PM,DAL,,,1,-,-,0,0,,
10,7,2023,7:00 PM,CHI,X,,1,-,-,0,0,,
10,12,2023,7:00 PM,DAL,,,1,-,-,0,0,,
10,14,2023,7:00 PM,SEA,X,,1,-,-,0,0,,
10,19,2023,7:00 PM,ARI,X,,1,-,-,0,0,,
10,21,2023,7:00 PM,PIT,X,,1,-,-,0,0,,
10,24,2023,7:45 PM,WPG,,,1,-,-,0,0,,
10,26,2023,8:00 PM,CGY,,,1,-,-,0,0,,
10,27,2023,9:00 PM,VAN,,,1,-,-,0,0,,
11,1,2023,8:30 PM,COL,,,1,-,-,0,0,,
11,3,2023,7:00 PM,NJD,X,,1,-,-,0,0,,
11,4,2023,6:00 PM,MTL,X,,1,-,-,0,0,,
11,7,2023,7:00 PM,WPG,X,,1,-,-,0,0,,
11,9,2023,7:00 PM,ARI,X,,1,-,-,0,0,,
11,11,2023,8:00 PM,COL,,,1,-,-,0,0,,
11,14,2023,7:00 PM,TBL,X,,1,-,-,0,0,,
11,16,2023,9:30 PM,SJS,,,1,-,-,0,0,,
11,18,2023,9:30 PM,LAK,,,1,-,-,0,0,,
11,19,2023,7:00 PM,ANA,,,1,-,-,0,0,,
11,22,2023,8:00 PM,ARI,,,1,-,-,0,0,,
11,24,2023,2:00 PM,NSH,X,,1,-,-,0,0,,
11,26,2023,1:00 PM,CHI,,,1,-,-,0,0,,
11,28,2023,7:00 PM,MIN,,,1,-,-,0,0,,
11,30,2023,7:00 PM,BUF,X,,1,-,-,0,0,,
12,2,2023,8:00 PM,ARI,,,1,-,-,0,0,,
12,4,2023,9:00 PM,VGK,,,1,-,-,0,0,,
12,6,2023,8:00 PM,VGK,X,,1,-,-,0,0,,
12,8,2023,6:00 PM,CBJ,,,1,-,-,0,0,,
12,9,2023,7:00 PM,CHI,,,1,-,-,0,0,,
12,12,2023,6:30 PM,DET,X,,1,-,-,0,0,,
12,14,2023,7:00 PM,OTT,X,,1,-,-,0,0,,
12,16,2023,7:00 PM,DAL,X,,1,-,-,0,0,,
12,19,2023,6:00 PM,TBL,,,1,-,-,0,0,,
12,21,2023,6:00 PM,FLA,,,1,-,-,0,0,,
12,23,2023,7:00 PM,CHI,X,,1,-,-,0,0,,
12,27,2023,7:00 PM,DAL,X,,1,-,-,0,0,,
12,29,2023,7:00 PM,COL,X,,1,-,-,0,0,,
12,30,2023,6:00 PM,PIT,,,1,-,-,0,0,,
1,4,2024,7:00 PM,VAN,X,,1,-,-,0,0,,
1,6,2024,6:00 PM,CAR,,,1,-,-,0,0,,
1,9,2024,7:00 PM,FLA,X,,1,-,-,0,0,,
1,11,2024,7:00 PM,NYR,X,,1,-,-,0,0,,
1,13,2024,7:00 PM,BOS,X,,1,-,-,0,0,,
1,15,2024,7:00 PM,PHI,X,,1,-,-,0,0,,
1,18,2024,6:00 PM,WSH,,,1,-,-,0,0,,
1,20,2024,7:00 PM,WSH,X,,1,-,-,0,0,,
1,23,2024,8:00 PM,VGY,,,1,-,-,0,0,,
1,24,2024,9:00 PM,VAN,,,1,-,-,0,0,,
1,26,2024,9:00 PM,SEA,,,1,-,-,0,0,,
1,28,2024,1:00 PM,LAK,X,,1,-,-,0,0,,
1,30,2024,7:00 PM,CBJ,X,,1,-,-,0,0,,
2,10,2024,12:00 PM,BUF,,,1,-,-,0,0,,
2,11,2024,12:00 PM,MTL,,,1,-,-,0,0,,
2,13,2024,6:00 PM,TOR,,,1,-,-,0,0,,
2,15,2024,7:00 PM,EDM,X,,1,-,-,0,0,,
2,17,2024,4:00 PM,NSH,X,,1,-,-,0,0,,
2,19,2024,12:00 PM,TOR,X,,1,-,-,0,0,,
2,22,2024,7:00 PM,NYI,X,,1,-,-,0,0,,
2,24,2024,11:00 AM,DET,,,1,-,-,0,0,,
2,27,2024,7:00 PM,WPG,,,1,-,-,0,0,,
2,28,2024,7:30 PM,EDM,,,1,-,-,0,0,,
3,2,2024,2:00 PM,MIN,X,,1,-,-,0,0,,
3,4,2024,6:30 PM,PHI,,,1,-,-,0,0,,
3,5,2024,6:30 PM,NYI,,,1,-,-,0,0,,
3,7,2024,6:00 PM,NJD,,,1,-,-,0,0,,
3,9,2024,6:30 PM,NYR,,,1,-,-,0,0,,
3,11,2024,6:00 PM,BOS,,,1,-,-,0,0,,
3,13,2024,6:30 PM,LAK,X,,1,-,-,0,0,,
3,16,2024,7:00 PM,MIN,X,,1,-,-,0,0,,
3,17,2024,6:00 PM,ANA,X,,1,-,-,0,0,,
3,19,2024,7:00 PM,COL,X,,1,-,-,0,0,,
3,21,2024,6:00 PM,OTT,,,1,-,-,0,0,,
3,23,2024,1:00 PM,MIN,,,1,-,-,0,0,,
3,25,2024,7:00 PM,VGK,X,,1,-,-,0,0,,
3,28,2024,7:00 PM,CGY,X,,1,-,-,0,0,,
3,30,2024,7:00 PM,SJS,X,,1,-,-,0,0,,
4,1,2024,8:00 PM,EDM,X,,1,-,-,0,0,,
4,4,2024,7:00 PM,NSH,,,1,-,-,0,0,,
4,6,2024,5:00 PM,SJS,,,1,-,-,0,0,,
4,7,2024,7:00 PM,ANA,,,1,-,-,0,0,,
4,10,2024,7:00 PM,CHI,X,,1,-,-,0,0,,
4,12,2024,7:00 PM,CAR,X,,1,-,-,0,0,,
4,14,2024,12:00 PM,SEA,X,,1,-,-,0,0,,
4,17,2024,8:30 PM,DAL,,,1,-,-,0,0,,
