First Name,Last Name,Jersey #,Birthdate,Image URL,Height,Position,Hand,Weight,Birthplace,Bio,Contract Structure,Career Statistics
Samuel,Adeniran,16,30-Sep-98,xxxxx,"6'5""",FWD,L,201 lbs,"Houston, TX, USA",BIO,-, NONE
Rasmus,Alm,21,17-Aug-95,xxxxx,"5'9""",MID,R,154 lbs,-,BIO,-, NONE
Lucas,Bartlett,24,26-Jul-97,xxxxx,"6'3""",DEF,NA,201 lbs,"Kansas City, MO, USA",BIO,-, NONE
Jonathan,Bell,23,26-Aug-97,xxxxx,"5'11""",DEF,NA,165 lbs,-,BIO,-, NONE
Njabulo,Blom,6,21-Jan-99,xxxxx,"6'2""",LW,L,210 lbs,-,BIO,-, NONE
Roman,BŸrki,1,22-Jan-99,xxxxx,"6'2""",LW,L,211 lbs,-,BIO,-, NONE
Michael,Creek,31,23-Jan-99,xxxxx,"6'2""",LW,L,212 lbs,-,BIO,-, NONE
Nicholas,Gioacchini,11,24-Jan-99,xxxxx,"6'2""",LW,L,213 lbs,-,BIO,-, NONE
Caden,Glover,46,25-Jan-99,xxxxx,"6'2""",LW,L,214 lbs,-,BIO,-, NONE
Kyle,Hiebert,22,26-Jan-99,xxxxx,"6'2""",LW,L,215 lbs,-,BIO,-, NONE
Aziel,Jackson,25,27-Jan-99,xxxxx,"6'2""",LW,L,216 lbs,-,BIO,-, NONE
Isak,Jensen,30,28-Jan-99,xxxxx,"6'2""",LW,L,217 lbs,-,BIO,-, NONE
Ben,Lundt,39,29-Jan-99,xxxxx,"6'2""",LW,L,218 lbs,-,BIO,-, NONE
Eduard,Lšwen,10,30-Jan-99,xxxxx,"6'2""",LW,L,219 lbs,-,BIO,-, NONE
Anthony,Markanich,13,31-Jan-99,xxxxx,"6'2""",LW,L,220 lbs,-,BIO,-, NONE
John,Nelson,14,1-Feb-99,xxxxx,"6'2""",LW,L,221 lbs,-,BIO,-, NONE
Jake,Nerwinski,2,2-Feb-99,xxxxx,"6'2""",LW,L,222 lbs,-,BIO,-, NONE
Joakim,Nilsson,33,3-Feb-99,xxxxx,"6'2""",LW,L,223 lbs,-,BIO,-, NONE
Owen,O'Malley,18,4-Feb-99,xxxxx,"6'2""",LW,L,224 lbs,-,BIO,-, NONE
Tomas,Ostrak,7,5-Feb-99,xxxxx,"6'2""",LW,L,225 lbs,-,BIO,-, NONE
Tim,Parker,26,6-Feb-99,xxxxx,"6'2""",LW,L,226 lbs,-,BIO,-, NONE
Miguel,Perez,28,7-Feb-99,xxxxx,"6'2""",LW,L,227 lbs,-,BIO,-, NONE
Selmir,Pidro,17,8-Feb-99,xxxxx,"6'2""",LW,L,228 lbs,-,BIO,-, NONE
CŽlio,Pompeu,12,9-Feb-99,xxxxx,"6'2""",LW,L,229 lbs,-,BIO,-, NONE
Jared,Stroud,8,10-Feb-99,xxxxx,"6'2""",LW,L,230 lbs,-,BIO,-, NONE
Nokkvi,Thorisson,29,11-Feb-99,xxxxx,"6'2""",LW,L,231 lbs,-,BIO,-, NONE
Indiana,Vassilev,19,12-Feb-99,xxxxx,"6'2""",LW,L,232 lbs,-,BIO,-, NONE
Akil,Watts,20,13-Feb-99,xxxxx,"6'2""",LW,L,233 lbs,-,BIO,-, NONE
Joshua,Yaro,15,14-Feb-99,xxxxx,"6'2""",LW,L,234 lbs,-,BIO,-, NONE
Jo‹o,Klauss,9,15-Feb-99,xxxxx,"6'2""",LW,L,235 lbs,-,BIO,-, NONE
